1.1117,1,1,15,1,1,15,6,26,2
1.126,1.1117,1,16,2,15,31,11,142,4
1.781,1.126,1,5,1,31,16,8,55,4
1.816,1.781,2,7,1,34,32,7,67,4
2.588,1.816,1,1,1,41,9,1,9,4
3.6,2.588,1,21,2,41,53,2,179,4
5.333,3.6,1,11,1,61,51,1,159,4
7.246,5.333,1,1,1,71,22,2,42,4
11.62,7.246,1,5,1,71,55,5,488,4
13.82,11.62,3,17,4,72,84,4,1164,4
15.97,13.82,2,2,1,87,55,4,271,4
21.44,15.97,1,6,3,88,65,1,294,4
23.13,21.44,1,1,1,94,1,1,1,4
28.1,23.13,1,1,1,93,39,1,121,4
33.9,28.1,4,21,7,89,97,3,736,4
38,33.9,7,11,5,112,79,4,341,4
41.3,38,1,1,1,113,14,6,27,4
47.8,41.3,17,18,36,97,143,5,426,4
56,47.8,37,7,8,78,95,19,1121,4
59.2,56,23,4,3,62,54,7,469,4
61.6,59.2,1,1,1,66,1,1,1,4
66,61.6,3,3,1,63,29,6,399,4
72.1,66,13,1,9,53,44,11,1223,4
83.6,72.1,16,6,11,38,48,1,228,4
86.3,83.6,4,2,2,41,9,2,29,4
89.8,86.3,1,2,1,42,5,1,6,4
93.9,89.8,3,2,5,41,13,1,59,4
111.5,93.9,16,5,3,27,46,1,215,4
113,111.5,28,1,14,4,46,1,185,4
125,113,1,1,3,3,5,1,19,4
129.4,125,1,1,1,3,2,1,11,4
132.9,129.4,1,1,1,2,1,1,1,4
139.8,132.9,1,1,1,1,1,1,2,4
145,139.8,1,1,1,1,1,1,1,4
152.1,145,1,1,1,1,1,1,1,4
157.3,152.1,1,1,1,1,1,1,1,4
163.5,157.3,1,1,1,1,1,1,1,4
166.1,163.5,1,1,1,1,1,1,1,4
168.3,166.1,1,1,1,1,1,1,1,4
